"code","id","name","parent_id:id"
,"vat_code_chart_root","Tassazione",
"IVC","template_ivacode_pagata","IVA a credito","vat_code_chart_root"
"IVC0","template_ivacode_pagata_0","Esente IVA (credito)","template_ivacode_pagata"
"IVCI","template_impcode_pagata","IVA a credito (imponibile)","vat_code_chart_root"
"IVC0I","template_impcode_pagata_0","Esente IVA a credito (imponibile)","template_impcode_pagata"
"IVC10","template_ivacode_pagata_10","IVA a credito 10%","template_ivacode_pagata"
"IVC10I","template_impcode_pagata_10","IVA a credito 10% (imponibile)","template_impcode_pagata"
"IVC20","template_ivacode_pagata_20","IVA a credito 20%","template_ivacode_pagata"
"IVC20I","template_impcode_pagata_20","IVA a credito 20% (imponibile)","template_impcode_pagata"
"IVC4","template_ivacode_pagata_4","IVA  a credito 4%","template_ivacode_pagata"
"IVC4I","template_impcode_pagata_4","IVA  a credito 4% (imponibile)","template_impcode_pagata"
"IVD","template_ivacode_riscossa","IVA a debito","vat_code_chart_root"
"IVD0","template_ivacode_riscossa_0","Esente IVA (debito)","template_ivacode_riscossa"
"IVDI","template_impcode_riscossa","IVA a debito (imponibile)","vat_code_chart_root"
"IVD0I","template_impcode_riscossa_0","Esente IVA a debito (imponibile)","template_impcode_riscossa"
"IVD10","template_ivacode_riscossa_10","IVA a debito 10%","template_ivacode_riscossa"
"IVD10I","template_impcode_riscossa_10","IVA a debito 10% (imponibile)","template_impcode_riscossa"
"IVD20","template_ivacode_riscossa_20","IVA a debito 20%","template_ivacode_riscossa"
"IVD20I","template_impcode_riscossa_20","IVA a debito 20% (imponibile)","template_impcode_riscossa"
"IVD4","template_ivacode_riscossa_4","IVA  a debito 4%","template_ivacode_riscossa"
"IVD4I","template_impcode_riscossa_4","IVA  a debito 4% (imponibile)","template_impcode_riscossa"
