"id","name","shortcut","domain"
1,"Ditta individuale","DI","partner"
2,"S.n.c.","S.n.c.","partner"
3,"S.a.s.","S.a.s.","partner"
4,"S.p.A.","S.p.A.","partner"
5,"S.r.l.","S.r.l.","partner"
6,"S.a.p.a.","S.a.p.a.","partner"
7,"Impresa Famigliare","IF","partner"
8,"Persona Fisica","PF","partner"
9,"Spett.le","Spett.le","contact"
10,"Ing.","Ing.","contact"
11,"Egr. Sig.ra","Egr. Sig.ra","contact"
12,"Dott.","Dott.","contact"
13,"Notaio","Notaio","contact"
14,"Arch.","Arch.","contact"
15,"Avv.","Avv.","contact"
16,"Egr. Sig.","Egr. Sig.","contact"
